potential,current
 7.150E-0001,-1.25307E-0005
 7.160E-0001,-1.25246E-0005
 7.170E-0001,-1.25185E-0005
 7.180E-0001,-1.25062E-0005
 7.190E-0001,-1.25001E-0005
 7.200E-0001,-1.24879E-0005
 7.210E-0001,-1.25001E-0005
 7.220E-0001,-1.25246E-0005
 7.230E-0001,-1.25001E-0005
 7.240E-0001,-1.24940E-0005
 7.250E-0001,-1.24910E-0005
 7.260E-0001,-1.24910E-0005
 7.270E-0001,-1.24940E-0005
 7.280E-0001,-1.24757E-0005
 7.290E-0001,-1.24696E-0005
 7.300E-0001,-1.24696E-0005
 7.310E-0001,-1.24574E-0005
 7.320E-0001,-1.24483E-0005
 7.330E-0001,-1.24513E-0005
 7.340E-0001,-1.24361E-0005
